metal_ox,gas_cate,temperature,density,resp_density,metal,resp_val
In2O3,gasoline,300,100,0.004,La,2.0
In2O3,gasoline,300,100,0.004,Ce,2.4
In2O3,gasoline,300,100,0.004,Pr,2.1
In2O3,gasoline,300,100,0.004,Nd,2.0
In2O3,gasoline,300,100,0.004,Eu,2.2
In2O3,gasoline,300,100,0.004,Sb,2.0
In2O3,gasoline,300,100,0.004,Gd,2.1
In2O3,gasoline,300,100,0.004,Ho,3.3
In2O3,gasoline,300,100,0.003,In2O3,2.2
In2O3,gasoline,300,100,0.003,Ru,1.7
In2O3,gasoline,300,100,0.003,Rh,2.7
In2O3,gasoline,300,100,0.003,Pd,2.7
In2O3,gasoline,300,100,0.003,Pt,1.6
In2O3,gasoline,300,100,0.003,La,1.9
In2O3,gasoline,300,100,0.003,Ce,2.0
In2O3,gasoline,300,100,0.003,Pr,2.2
In2O3,gasoline,300,100,0.003,Nd,2.3
In2O3,gasoline,300,100,0.003,Eu,2.3
In2O3,gasoline,300,100,0.003,Sb,2.0
In2O3,gasoline,300,100,0.003,Gd,3.6
In2O3,gasoline,300,100,0.003,Ho,2.7
In2O3,gasoline,300,100,0.002,In2O3,2.2
In2O3,gasoline,300,100,0.002,Ru,1.6
In2O3,gasoline,300,100,0.002,Rh,2.5
In2O3,gasoline,300,100,0.002,Pd,2.5
In2O3,gasoline,300,100,0.002,Pt,1.7
In2O3,gasoline,300,100,0.002,La,2.0
In2O3,gasoline,300,100,0.002,Ce,2.0
In2O3,gasoline,300,100,0.002,Pr,2.3
In2O3,gasoline,300,100,0.002,Nd,1.9
In2O3,gasoline,300,100,0.002,Eu,2.0
In2O3,gasoline,300,100,0.002,Sb,1.9
In2O3,gasoline,300,100,0.002,Gd,3.3
In2O3,gasoline,300,100,0.002,Ho,2.1
In2O3,gasoline,300,100,0.001,In2O3,2.2
In2O3,gasoline,300,100,0.001,Ru,1.6
In2O3,gasoline,300,100,0.001,Rh,2.7
In2O3,gasoline,300,100,0.001,Pd,2.5
In2O3,gasoline,300,100,0.001,Pt,1.7
In2O3,gasoline,300,100,0.001,La,2.0
In2O3,gasoline,300,100,0.001,Ce,2.2
In2O3,gasoline,300,100,0.001,Pr,2.2
In2O3,gasoline,300,100,0.001,Nd,1.9
In2O3,gasoline,300,100,0.001,Eu,2.0
In2O3,gasoline,300,100,0.001,Sb,1.3
In2O3,gasoline,300,100,0.001,Gd,3.4
In2O3,gasoline,300,100,0.001,Ho,2.1
In2O3,gasoline,300,70,0.005,In2O3,1.7
In2O3,gasoline,300,70,0.005,Ru,1.4
In2O3,gasoline,300,70,0.005,Rh,1.8
In2O3,gasoline,300,70,0.005,Pd,2.2
In2O3,gasoline,300,70,0.005,Pt,1.7
In2O3,gasoline,300,70,0.005,La,1.6
In2O3,gasoline,300,70,0.005,Ce,1.7
In2O3,gasoline,300,70,0.005,Pr,1.7
In2O3,gasoline,300,70,0.005,Nd,1.5
In2O3,gasoline,300,70,0.005,Eu,1.7
In2O3,gasoline,300,70,0.005,Sb,1.5
In2O3,gasoline,300,70,0.005,Gd,3.0
In2O3,gasoline,300,70,0.005,Ho,1.8
In2O3,gasoline,300,70,0.004,In2O3,1.7
In2O3,gasoline,300,70,0.004,Ru,1.3
In2O3,gasoline,300,70,0.004,Rh,1.6
In2O3,gasoline,300,70,0.004,Pd,2.1
In2O3,gasoline,300,70,0.004,Pt,1.5
In2O3,gasoline,300,70,0.004,La,1.5
In2O3,gasoline,300,70,0.004,Ce,1.8
In2O3,gasoline,300,70,0.004,Pr,1.8
In2O3,gasoline,300,70,0.004,Nd,1.5
In2O3,gasoline,300,70,0.004,Eu,1.7
In2O3,gasoline,300,70,0.004,Sb,1.6
In2O3,gasoline,300,70,0.004,Gd,2.3
In2O3,gasoline,300,70,0.004,Ho,2.0
In2O3,gasoline,300,70,0.003,In2O3,1.7
In2O3,gasoline,300,70,0.003,Ru,1.4
In2O3,gasoline,300,70,0.003,Rh,1.8
In2O3,gasoline,300,70,0.003,Pd,2.2
In2O3,gasoline,300,70,0.003,Pt,1.5
In2O3,gasoline,300,70,0.003,La,1.5
In2O3,gasoline,300,70,0.003,Ce,1.6
In2O3,gasoline,300,70,0.003,Pr,1.8
In2O3,gasoline,300,70,0.003,Nd,1.6
In2O3,gasoline,300,70,0.003,Eu,1.7
In2O3,gasoline,300,70,0.003,Sb,1.7
In2O3,gasoline,300,70,0.003,Gd,3.1
In2O3,gasoline,300,70,0.003,Ho,1.8
In2O3,gasoline,300,70,0.002,In2O3,1.7
In2O3,gasoline,300,70,0.002,Ru,1.3
In2O3,gasoline,300,70,0.002,Rh,1.8
In2O3,gasoline,300,70,0.002,Pd,2.1
In2O3,gasoline,300,70,0.002,Pt,1.4
In2O3,gasoline,300,70,0.002,La,1.5
In2O3,gasoline,300,70,0.002,Ce,1.5
In2O3,gasoline,300,70,0.002,Pr,1.7
In2O3,gasoline,300,70,0.002,Nd,1.4
In2O3,gasoline,300,70,0.002,Eu,1.5
In2O3,gasoline,300,70,0.002,Sb,1.5
In2O3,gasoline,300,70,0.002,Gd,2.6
In2O3,gasoline,300,70,0.002,Ho,1.5
In2O3,gasoline,300,70,0.001,In2O3,1.7
In2O3,gasoline,300,70,0.001,Ru,1.4
In2O3,gasoline,300,70,0.001,Rh,2.0
In2O3,gasoline,300,70,0.001,Pd,1.9
In2O3,gasoline,300,70,0.001,Pt,1.4
In2O3,gasoline,300,70,0.001,La,1.5
In2O3,gasoline,300,70,0.001,Ce,1.6
In2O3,gasoline,300,70,0.001,Pr,1.7
In2O3,gasoline,300,70,0.001,Nd,1.4
In2O3,gasoline,300,70,0.001,Eu,1.5
In2O3,gasoline,300,70,0.001,Sb,1.1
In2O3,gasoline,300,70,0.001,Gd,3.2
In2O3,gasoline,300,70,0.001,Ho,1.5
In2O3,gasoline,300,50,0.005,In2O3,2.1
In2O3,gasoline,300,50,0.005,Ru,1.5
In2O3,gasoline,300,50,0.005,Rh,2.2
In2O3,gasoline,300,50,0.005,Pd,2.4
In2O3,gasoline,300,50,0.005,Pt,2.3
In2O3,gasoline,300,50,0.005,La,1.6
In2O3,gasoline,300,50,0.005,Ce,1.8
In2O3,gasoline,300,50,0.005,Pr,1.7
In2O3,gasoline,300,50,0.005,Nd,2.2
In2O3,gasoline,300,50,0.005,Eu,2.1
In2O3,gasoline,300,50,0.005,Sb,1.5
In2O3,gasoline,300,50,0.005,Gd,2.4
In2O3,gasoline,300,50,0.005,Ho,2.8
In2O3,gasoline,300,50,0.004,In2O3,2.1
In2O3,gasoline,300,50,0.004,Ru,1.5
In2O3,gasoline,300,50,0.004,Rh,1.9
In2O3,gasoline,300,50,0.004,Pd,2.4
In2O3,gasoline,300,50,0.004,Pt,1.7
In2O3,gasoline,300,50,0.004,La,1.7
In2O3,gasoline,300,50,0.004,Ce,2.0
In2O3,gasoline,300,50,0.004,Pr,1.8
In2O3,gasoline,300,50,0.004,Nd,1.9
In2O3,gasoline,300,50,0.004,Eu,1.9
In2O3,gasoline,300,50,0.004,Sb,1.7
In2O3,gasoline,300,50,0.004,Gd,1.8
In2O3,gasoline,300,50,0.004,Ho,2.9
In2O3,gasoline,300,50,0.003,In2O3,2.1
In2O3,gasoline,300,50,0.003,Ru,1.7
In2O3,gasoline,300,50,0.003,Rh,2.2
In2O3,gasoline,300,50,0.003,Pd,2.3
In2O3,gasoline,300,50,0.003,Pt,1.6
In2O3,gasoline,300,50,0.003,La,1.7
In2O3,gasoline,300,50,0.003,Ce,1.7
In2O3,gasoline,300,50,0.003,Pr,1.9
In2O3,gasoline,300,50,0.003,Nd,2.1
In2O3,gasoline,300,50,0.003,Eu,2.1
In2O3,gasoline,300,50,0.003,Sb,1.8
In2O3,gasoline,300,50,0.003,Gd,2.5
In2O3,gasoline,300,50,0.003,Ho,2.5
In2O3,gasoline,300,50,0.002,In2O3,2.1
In2O3,gasoline,300,50,0.002,Ru,1.5
In2O3,gasoline,300,50,0.002,Rh,2.1
In2O3,gasoline,300,50,0.002,Pd,2.3
In2O3,gasoline,300,50,0.002,Pt,1.6
In2O3,gasoline,300,50,0.002,La,1.7
In2O3,gasoline,300,50,0.002,Ce,1.8
In2O3,gasoline,300,50,0.002,Pr,2.0
In2O3,gasoline,300,50,0.002,Nd,1.7
In2O3,gasoline,300,50,0.002,Eu,1.7
In2O3,gasoline,300,50,0.002,Sb,1.7
In2O3,gasoline,300,50,0.002,Gd,2.5
In2O3,gasoline,300,50,0.002,Ho,2.0
In2O3,gasoline,300,50,0.001,In2O3,2.1
In2O3,gasoline,300,50,0.001,Ru,1.5
In2O3,gasoline,300,50,0.001,Rh,2.2
In2O3,gasoline,300,50,0.001,Pd,2.3
In2O3,gasoline,300,50,0.001,Pt,1.6
In2O3,gasoline,300,50,0.001,La,1.7
In2O3,gasoline,300,50,0.001,Ce,1.8
In2O3,gasoline,300,50,0.001,Pr,1.9
In2O3,gasoline,300,50,0.001,Nd,1.6
In2O3,gasoline,300,50,0.001,Eu,1.8
In2O3,gasoline,300,50,0.001,Sb,1.2
In2O3,gasoline,300,50,0.001,Gd,2.3
In2O3,gasoline,300,50,0.001,Ho,2.0
In2O3,gasoline,300,30,0.005,In2O3,2.1
In2O3,gasoline,300,30,0.005,Ru,1.6
In2O3,gasoline,300,30,0.005,Rh,2.5
In2O3,gasoline,300,30,0.005,Pd,2.5
In2O3,gasoline,300,30,0.005,Pt,2.4
In2O3,gasoline,300,30,0.005,La,1.9
In2O3,gasoline,300,30,0.005,Ce,2.1
In2O3,gasoline,300,30,0.005,Pr,1.9
In2O3,gasoline,300,30,0.005,Nd,1.7
In2O3,gasoline,300,30,0.005,Eu,2.1
In2O3,gasoline,300,30,0.005,Sb,1.7
In2O3,gasoline,300,30,0.005,Gd,2.5
In2O3,gasoline,300,30,0.005,Ho,3.1
In2O3,gasoline,300,30,0.004,In2O3,2.1
In2O3,gasoline,300,30,0.004,Ru,1.7
In2O3,gasoline,300,30,0.004,Rh,2.4
In2O3,gasoline,300,30,0.004,Pd,2.6
In2O3,gasoline,300,30,0.004,Pt,1.8
In2O3,gasoline,300,30,0.004,La,1.9
In2O3,gasoline,300,30,0.004,Ce,2.3
In2O3,gasoline,300,30,0.004,Pr,2.0
In2O3,gasoline,300,30,0.004,Nd,1.5
In2O3,gasoline,300,30,0.004,Eu,2.0
In2O3,gasoline,300,30,0.004,Sb,2.0
In2O3,gasoline,300,30,0.004,Gd,1.9
In2O3,gasoline,300,30,0.004,Ho,3.5
In2O3,gasoline,300,30,0.003,In2O3,2.1
In2O3,gasoline,300,30,0.003,Ru,1.9
In2O3,gasoline,300,30,0.003,Rh,2.7
In2O3,gasoline,300,30,0.003,Pd,2.5
In2O3,gasoline,300,30,0.003,Pt,1.7
In2O3,gasoline,300,30,0.003,La,1.9
In2O3,gasoline,300,30,0.003,Ce,2.0
In2O3,gasoline,300,30,0.003,Pr,2.1
In2O3,gasoline,300,30,0.003,Nd,1.7
In2O3,gasoline,300,30,0.003,Eu,2.3
In2O3,gasoline,300,30,0.003,Sb,2.0
In2O3,gasoline,300,30,0.003,Gd,2.7
In2O3,gasoline,300,30,0.003,Ho,2.9
In2O3,gasoline,300,30,0.002,In2O3,2.1
In2O3,gasoline,300,30,0.002,Ru,1.7
In2O3,gasoline,300,30,0.002,Rh,2.5
In2O3,gasoline,300,30,0.002,Pd,2.4
In2O3,gasoline,300,30,0.002,Pt,1.8
In2O3,gasoline,300,30,0.002,La,1.9
In2O3,gasoline,300,30,0.002,Ce,2.1
In2O3,gasoline,300,30,0.002,Pr,2.2
In2O3,gasoline,300,30,0.002,Nd,1.4
In2O3,gasoline,300,30,0.002,Eu,1.9
In2O3,gasoline,300,30,0.002,Sb,1.8
In2O3,gasoline,300,30,0.002,Gd,2.9
In2O3,gasoline,300,30,0.002,Ho,2.2
In2O3,gasoline,300,30,0.001,In2O3,2.1
In2O3,gasoline,300,30,0.001,Ru,1.7
In2O3,gasoline,300,30,0.001,Rh,2.7
In2O3,gasoline,300,30,0.001,Pd,2.6
In2O3,gasoline,300,30,0.001,Pt,1.8
In2O3,gasoline,300,30,0.001,La,1.9
In2O3,gasoline,300,30,0.001,Ce,2.1
In2O3,gasoline,300,30,0.001,Pr,2.1
In2O3,gasoline,300,30,0.001,Nd,1.4
In2O3,gasoline,300,30,0.001,Eu,2.1
In2O3,gasoline,300,30,0.001,Sb,1.3
In2O3,gasoline,300,30,0.001,Gd,2.8
In2O3,gasoline,300,30,0.001,Ho,2.2
In2O3,gasoline,350,100,0.005,In2O3,2.1
In2O3,gasoline,350,100,0.005,Ru,1.5
In2O3,gasoline,350,100,0.005,Rh,2.0
In2O3,gasoline,350,100,0.005,Pd,1.9
In2O3,gasoline,350,100,0.005,Pt,2.9
In2O3,gasoline,350,100,0.005,La,1.7
In2O3,gasoline,350,100,0.005,Ce,1.8
In2O3,gasoline,350,100,0.005,Pr,1.4
In2O3,gasoline,350,100,0.005,Nd,1.8
In2O3,gasoline,350,100,0.005,Eu,1.9
In2O3,gasoline,350,100,0.005,Sb,1.6
In2O3,gasoline,350,100,0.005,Gd,2.0
In2O3,gasoline,350,100,0.005,Ho,2.0
In2O3,gasoline,350,100,0.004,In2O3,2.1
In2O3,gasoline,350,100,0.004,Ru,1.6
In2O3,gasoline,350,100,0.004,Rh,2.0
In2O3,gasoline,350,100,0.004,Pd,2.3
In2O3,gasoline,350,100,0.004,Pt,1.7
In2O3,gasoline,350,100,0.004,La,1.7
In2O3,gasoline,350,100,0.004,Ce,1.9
In2O3,gasoline,350,100,0.004,Pr,1.7
In2O3,gasoline,350,100,0.004,Nd,1.9
In2O3,gasoline,350,100,0.004,Eu,1.8
In2O3,gasoline,350,100,0.004,Sb,1.7
In2O3,gasoline,350,100,0.004,Gd,2.2
In2O3,gasoline,350,100,0.004,Ho,2.1
In2O3,gasoline,350,100,0.003,In2O3,2.1
In2O3,gasoline,350,100,0.003,Ru,1.8
In2O3,gasoline,350,100,0.003,Rh,2.1
In2O3,gasoline,350,100,0.003,Pd,2.5
In2O3,gasoline,350,100,0.003,Pt,1.7
In2O3,gasoline,350,100,0.003,La,1.6
In2O3,gasoline,350,100,0.003,Ce,2.0
In2O3,gasoline,350,100,0.003,Pr,1.7
In2O3,gasoline,350,100,0.003,Nd,1.9
In2O3,gasoline,350,100,0.003,Eu,1.8
In2O3,gasoline,350,100,0.003,Sb,1.8
In2O3,gasoline,350,100,0.003,Gd,2.5
In2O3,gasoline,350,100,0.003,Ho,1.9
In2O3,gasoline,350,100,0.002,In2O3,2.1
In2O3,gasoline,350,100,0.002,Ru,1.6
In2O3,gasoline,350,100,0.002,Rh,2.1
In2O3,gasoline,350,100,0.002,Pd,2.3
In2O3,gasoline,350,100,0.002,Pt,1.6
In2O3,gasoline,350,100,0.002,La,1.8
In2O3,gasoline,350,100,0.002,Ce,1.8
In2O3,gasoline,350,100,0.002,Pr,1.7
In2O3,gasoline,350,100,0.002,Nd,1.7
In2O3,gasoline,350,100,0.002,Eu,1.8
In2O3,gasoline,350,100,0.002,Sb,1.6
In2O3,gasoline,350,100,0.002,Gd,2.6
In2O3,gasoline,350,100,0.002,Ho,1.7
In2O3,gasoline,350,100,0.001,In2O3,2.1
In2O3,gasoline,350,100,0.001,Ru,1.6
In2O3,gasoline,350,100,0.001,Rh,2.2
In2O3,gasoline,350,100,0.001,Pd,2.5
In2O3,gasoline,350,100,0.001,Pt,1.7
In2O3,gasoline,350,100,0.001,La,1.8
In2O3,gasoline,350,100,0.001,Ce,1.9
In2O3,gasoline,350,100,0.001,Pr,1.8
In2O3,gasoline,350,100,0.001,Nd,1.8
In2O3,gasoline,350,100,0.001,Eu,1.7
In2O3,gasoline,350,100,0.001,Sb,1.0
In2O3,gasoline,350,100,0.001,Gd,2.7
In2O3,gasoline,350,100,0.001,Ho,1.8
In2O3,gasoline,350,70,0.005,In2O3,2.3
In2O3,gasoline,350,70,0.005,Ru,1.9
In2O3,gasoline,350,70,0.005,Rh,2.5
In2O3,gasoline,350,70,0.005,Pd,2.2
In2O3,gasoline,350,70,0.005,Pt,2.5
In2O3,gasoline,350,70,0.005,La,2.4
In2O3,gasoline,350,70,0.005,Ce,2.4
In2O3,gasoline,350,70,0.005,Pr,2.3
In2O3,gasoline,350,70,0.005,Nd,2.4
In2O3,gasoline,350,70,0.005,Eu,2.0
In2O3,gasoline,350,70,0.005,Sb,2.0
In2O3,gasoline,350,70,0.005,Gd,3.0
In2O3,gasoline,350,70,0.005,Ho,2.2
In2O3,gasoline,350,70,0.004,In2O3,2.3
In2O3,gasoline,350,70,0.004,Ru,2.0
In2O3,gasoline,350,70,0.004,Rh,2.4
In2O3,gasoline,350,70,0.004,Pd,2.6
In2O3,gasoline,350,70,0.004,Pt,2.1
In2O3,gasoline,350,70,0.004,La,2.2
In2O3,gasoline,350,70,0.004,Ce,2.5
In2O3,gasoline,350,70,0.004,Pr,2.3
In2O3,gasoline,350,70,0.004,Nd,2.4
In2O3,gasoline,350,70,0.004,Eu,1.9
In2O3,gasoline,350,70,0.004,Sb,2.3
In2O3,gasoline,350,70,0.004,Gd,3.7
In2O3,gasoline,350,70,0.004,Ho,2.5
In2O3,gasoline,350,70,0.003,In2O3,2.3
In2O3,gasoline,350,70,0.003,Ru,2.4
In2O3,gasoline,350,70,0.003,Rh,2.6
In2O3,gasoline,350,70,0.003,Pd,2.8
In2O3,gasoline,350,70,0.003,Pt,2.1
In2O3,gasoline,350,70,0.003,La,2.1
In2O3,gasoline,350,70,0.003,Ce,2.5
In2O3,gasoline,350,70,0.003,Pr,2.2
In2O3,gasoline,350,70,0.003,Nd,2.5
In2O3,gasoline,350,70,0.003,Eu,1.9
In2O3,gasoline,350,70,0.003,Sb,2.3
In2O3,gasoline,350,70,0.003,Gd,3.6
In2O3,gasoline,350,70,0.003,Ho,2.2
In2O3,gasoline,350,70,0.002,In2O3,2.3
In2O3,gasoline,350,70,0.002,Ru,2.0
In2O3,gasoline,350,70,0.002,Rh,2.7
In2O3,gasoline,350,70,0.002,Pd,2.6
In2O3,gasoline,350,70,0.002,Pt,2.1
In2O3,gasoline,350,70,0.002,La,2.2
In2O3,gasoline,350,70,0.002,Ce,2.4
In2O3,gasoline,350,70,0.002,Pr,2.1
In2O3,gasoline,350,70,0.002,Nd,2.2
In2O3,gasoline,350,70,0.002,Eu,1.9
In2O3,gasoline,350,70,0.002,Sb,2.2
In2O3,gasoline,350,70,0.002,Gd,3.6
In2O3,gasoline,350,70,0.002,Ho,1.9
In2O3,gasoline,350,70,0.001,In2O3,2.3
In2O3,gasoline,350,70,0.001,Ru,1.9
In2O3,gasoline,350,70,0.001,Rh,3.0
In2O3,gasoline,350,70,0.001,Pd,2.9
In2O3,gasoline,350,70,0.001,Pt,2.2
In2O3,gasoline,350,70,0.001,La,2.2
In2O3,gasoline,350,70,0.001,Ce,2.3
In2O3,gasoline,350,70,0.001,Pr,2.2
In2O3,gasoline,350,70,0.001,Nd,2.2
In2O3,gasoline,350,70,0.001,Eu,1.9
In2O3,gasoline,350,70,0.001,Sb,1.1
In2O3,gasoline,350,70,0.001,Gd,4.0
In2O3,gasoline,350,70,0.001,Ho,2.1
In2O3,gasoline,350,50,0.005,In2O3,2.0
In2O3,gasoline,350,50,0.005,Ru,1.7
In2O3,gasoline,350,50,0.005,Rh,2.1
In2O3,gasoline,350,50,0.005,Pd,1.9
In2O3,gasoline,350,50,0.005,Pt,2.1
In2O3,gasoline,350,50,0.005,La,2.1
In2O3,gasoline,350,50,0.005,Ce,2.0
In2O3,gasoline,350,50,0.005,Pr,2.0
In2O3,gasoline,350,50,0.005,Nd,2.1
In2O3,gasoline,350,50,0.005,Eu,1.8
In2O3,gasoline,350,50,0.005,Sb,1.8
In2O3,gasoline,350,50,0.005,Gd,2.5
In2O3,gasoline,350,50,0.005,Ho,1.8
In2O3,gasoline,350,50,0.004,In2O3,2.0
In2O3,gasoline,350,50,0.004,Ru,1.8
In2O3,gasoline,350,50,0.004,Rh,2.1
In2O3,gasoline,350,50,0.004,Pd,2.2
In2O3,gasoline,350,50,0.004,Pt,1.8
In2O3,gasoline,350,50,0.004,La,1.9
In2O3,gasoline,350,50,0.004,Ce,2.0
In2O3,gasoline,350,50,0.004,Pr,2.0
In2O3,gasoline,350,50,0.004,Nd,2.0
In2O3,gasoline,350,50,0.004,Eu,1.7
In2O3,gasoline,350,50,0.004,Sb,2.0
In2O3,gasoline,350,50,0.004,Gd,2.9
In2O3,gasoline,350,50,0.004,Ho,2.1
In2O3,gasoline,350,50,0.003,In2O3,2.0
In2O3,gasoline,350,50,0.003,Ru,2.0
In2O3,gasoline,350,50,0.003,Rh,2.3
In2O3,gasoline,350,50,0.003,Pd,2.4
In2O3,gasoline,350,50,0.003,Pt,1.9
In2O3,gasoline,350,50,0.003,La,1.9
In2O3,gasoline,350,50,0.003,Ce,2.1
In2O3,gasoline,350,50,0.003,Pr,1.9
In2O3,gasoline,350,50,0.003,Nd,2.1
In2O3,gasoline,350,50,0.003,Eu,1.6
In2O3,gasoline,350,50,0.003,Sb,2.0
In2O3,gasoline,350,50,0.003,Gd,2.9
In2O3,gasoline,350,50,0.003,Ho,1.8
In2O3,gasoline,350,50,0.002,In2O3,2.0
In2O3,gasoline,350,50,0.002,Ru,1.8
In2O3,gasoline,350,50,0.002,Rh,2.3
In2O3,gasoline,350,50,0.002,Pd,2.2
In2O3,gasoline,350,50,0.002,Pt,1.9
In2O3,gasoline,350,50,0.002,La,1.9
In2O3,gasoline,350,50,0.002,Ce,2.0
In2O3,gasoline,350,50,0.002,Pr,1.8
In2O3,gasoline,350,50,0.002,Nd,1.8
In2O3,gasoline,350,50,0.002,Eu,1.6
In2O3,gasoline,350,50,0.002,Sb,1.9
In2O3,gasoline,350,50,0.002,Gd,2.8
In2O3,gasoline,350,50,0.002,Ho,1.7
In2O3,gasoline,350,50,0.001,In2O3,2.0
In2O3,gasoline,350,50,0.001,Ru,1.7
In2O3,gasoline,350,50,0.001,Rh,2.5
In2O3,gasoline,350,50,0.001,Pd,2.5
In2O3,gasoline,350,50,0.001,Pt,1.9
In2O3,gasoline,350,50,0.001,La,1.9
In2O3,gasoline,350,50,0.001,Ce,2.0
In2O3,gasoline,350,50,0.001,Pr,1.9
In2O3,gasoline,350,50,0.001,Nd,1.8
In2O3,gasoline,350,50,0.001,Eu,1.5
In2O3,gasoline,350,50,0.001,Sb,1.1
In2O3,gasoline,350,50,0.001,Gd,3.1
In2O3,gasoline,350,50,0.001,Ho,1.8
In2O3,gasoline,350,30,0.005,In2O3,1.8
In2O3,gasoline,350,30,0.005,Ru,1.6
In2O3,gasoline,350,30,0.005,Rh,2.0
In2O3,gasoline,350,30,0.005,Pd,1.9
In2O3,gasoline,350,30,0.005,Pt,1.9
In2O3,gasoline,350,30,0.005,La,1.8
In2O3,gasoline,350,30,0.005,Ce,2.0
In2O3,gasoline,350,30,0.005,Pr,1.7
In2O3,gasoline,350,30,0.005,Nd,1.9
In2O3,gasoline,350,30,0.005,Eu,1.7
In2O3,gasoline,350,30,0.005,Sb,1.6
In2O3,gasoline,350,30,0.005,Gd,2.3
In2O3,gasoline,350,30,0.005,Ho,2.0
In2O3,gasoline,350,30,0.004,In2O3,1.8
In2O3,gasoline,350,30,0.004,Ru,1.7
In2O3,gasoline,350,30,0.004,Rh,2.1
In2O3,gasoline,350,30,0.004,Pd,2.1
In2O3,gasoline,350,30,0.004,Pt,1.7
In2O3,gasoline,350,30,0.004,La,1.7
In2O3,gasoline,350,30,0.004,Ce,2.0
In2O3,gasoline,350,30,0.004,Pr,1.7
In2O3,gasoline,350,30,0.004,Nd,1.6
In2O3,gasoline,350,30,0.004,Eu,1.6
In2O3,gasoline,350,30,0.004,Sb,1.7
In2O3,gasoline,350,30,0.004,Gd,2.7
In2O3,gasoline,350,30,0.004,Ho,2.2
In2O3,gasoline,350,30,0.003,In2O3,1.8
In2O3,gasoline,350,30,0.003,Ru,2.0
In2O3,gasoline,350,30,0.003,Rh,2.1
In2O3,gasoline,350,30,0.003,Pd,2.1
In2O3,gasoline,350,30,0.003,Pt,1.7
In2O3,gasoline,350,30,0.003,La,1.7
In2O3,gasoline,350,30,0.003,Ce,2.0
In2O3,gasoline,350,30,0.003,Pr,1.7
In2O3,gasoline,350,30,0.003,Nd,1.9
In2O3,gasoline,350,30,0.003,Eu,1.6
In2O3,gasoline,350,30,0.003,Sb,1.8
In2O3,gasoline,350,30,0.003,Gd,2.6
In2O3,gasoline,350,30,0.003,Ho,1.9
In2O3,gasoline,350,30,0.002,In2O3,1.8
In2O3,gasoline,350,30,0.002,Ru,1.8
In2O3,gasoline,350,30,0.002,Rh,2.2
In2O3,gasoline,350,30,0.002,Pd,2.1
In2O3,gasoline,350,30,0.002,Pt,1.8
In2O3,gasoline,350,30,0.002,La,1.8
In2O3,gasoline,350,30,0.002,Ce,2.0
In2O3,gasoline,350,30,0.002,Pr,1.7
In2O3,gasoline,350,30,0.002,Nd,1.4
In2O3,gasoline,350,30,0.002,Eu,1.6
In2O3,gasoline,350,30,0.002,Sb,1.7
In2O3,gasoline,350,30,0.002,Gd,2.7
In2O3,gasoline,350,30,0.002,Ho,1.7
In2O3,gasoline,350,30,0.001,In2O3,1.8
In2O3,gasoline,350,30,0.001,Ru,1.7
In2O3,gasoline,350,30,0.001,Rh,2.4
In2O3,gasoline,350,30,0.001,Pd,2.3
In2O3,gasoline,350,30,0.001,Pt,1.8
In2O3,gasoline,350,30,0.001,La,1.8
In2O3,gasoline,350,30,0.001,Ce,1.9
In2O3,gasoline,350,30,0.001,Pr,1.8
In2O3,gasoline,350,30,0.001,Nd,1.5
In2O3,gasoline,350,30,0.001,Eu,1.6
In2O3,gasoline,350,30,0.001,Sb,1.0
In2O3,gasoline,350,30,0.001,Gd,2.9
In2O3,gasoline,350,30,0.001,Ho,1.9
In2O3,gasoline,400,100,0.005,In2O3,2.1
In2O3,gasoline,400,100,0.005,Ru,1.7
In2O3,gasoline,400,100,0.005,Rh,2.2
In2O3,gasoline,400,100,0.005,Pd,3.0
In2O3,gasoline,400,100,0.005,Pt,2.1
In2O3,gasoline,400,100,0.005,La,2.3
In2O3,gasoline,400,100,0.005,Ce,2.2
In2O3,gasoline,400,100,0.005,Pr,1.7
In2O3,gasoline,400,100,0.005,Nd,1.8
In2O3,gasoline,400,100,0.005,Eu,1.8
In2O3,gasoline,400,100,0.005,Sb,1.9
In2O3,gasoline,400,100,0.005,Gd,3.2
In2O3,gasoline,400,100,0.005,Ho,2.2
In2O3,gasoline,400,100,0.004,In2O3,2.1
In2O3,gasoline,400,100,0.004,Ru,1.8
In2O3,gasoline,400,100,0.004,Rh,2.2
In2O3,gasoline,400,100,0.004,Pd,3.1
In2O3,gasoline,400,100,0.004,Pt,1.8
In2O3,gasoline,400,100,0.004,La,2.0
In2O3,gasoline,400,100,0.004,Ce,2.4
In2O3,gasoline,400,100,0.004,Pr,2.3
In2O3,gasoline,400,100,0.004,Nd,1.8
In2O3,gasoline,400,100,0.004,Eu,1.7
In2O3,gasoline,400,100,0.004,Sb,2.2
In2O3,gasoline,400,100,0.004,Gd,2.8
In2O3,gasoline,400,100,0.004,Ho,2.4
In2O3,gasoline,400,100,0.003,In2O3,2.1
In2O3,gasoline,400,100,0.003,Ru,2.2
In2O3,gasoline,400,100,0.003,Rh,2.6
In2O3,gasoline,400,100,0.003,Pd,3.7
In2O3,gasoline,400,100,0.003,Pt,1.9
In2O3,gasoline,400,100,0.003,La,2.1
In2O3,gasoline,400,100,0.003,Ce,2.1
In2O3,gasoline,400,100,0.003,Pr,2.2
In2O3,gasoline,400,100,0.003,Nd,1.9
In2O3,gasoline,400,100,0.003,Eu,1.8
